,image,json_data
87,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=591x1123 at 0x7F90CA71FE20>,"{'company': '99 SPEED MART S/B', 'date': '26-03-18', 'address': 'LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1330 JLN KENANGA', 'total': 'RM 10.60'}"
88,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=884x2249 at 0x7F90CA71FEE0>,"{'company': 'AA PHARMACY', 'date': '29/01/2018', 'address': 'NO.47, JALAN 3/36, BUKIT SRI BINTANG, KEPONG 52100, KUALA LUMPUR', 'total': '46.20'}"
89,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2126 at 0x7F90CAC1EA40>,"{'company': 'CPI ROCKU SDN. BHD.', 'date': '19/02/2018', 'address': 'LOT F355/356/357, FIRST FLOOR, RAINFOREST, 1 UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA, 47800 PETALING JAYA', 'total': '181.55'}"
90,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x2211 at 0x7F90CAC1DB70>,"{'company': 'ALI BABA INTERNATIONAL SDN BHD', 'date': '19-02-2018', 'address': 'PUBLIKA SHOPPING GALLERY LOT 26-27 ,LEVEL G2,JLN DUTAMAS 1, SOLARIS DUTAMAS,50480 KL.', 'total': '23.80'}"
91,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=884x1940 at 0x7F91186FBF70>,"{'company': 'SEN LEE HEONG RESTAURANT', 'date': '12-01-2018', 'address': 'G-0-1 ,M.AVENUE NO.1 ,JLN 1/38A, SEGAMBUT BAHAGIA,51200, K.LUMPUL', 'total': '77.40'}"
92,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x1892 at 0x7F91186F8430>,"{'company': 'POTTERS GARDEN SDN BHD', 'date': '04/01/2018', 'address': 'BATU 11 . SG BULOH , 47000 SELANGOR .', 'total': '39.80'}"
93,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x2174 at 0x7F90CB2346A0>,"{'company': 'HENG KEE DELIGHTS BAK KUT TEH.', 'date': '04/01/2018', 'address': 'NO31 , JALAN 3/62A , BANDAR MENJALARA KEPONG. 52100 KUALA LUMPUR', 'total': '42.00'}"
94,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x2662 at 0x7F90CB235180>,"{'company': 'GREEN LANE PHARMACY SDN BHD', 'date': '1/8/2018', 'address': '33 JLN BANGAU 1,KEPONG BARU, 52100 KEPONG,KL', 'total': '34.80'}"
95,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=940x1660 at 0x7F90CB236830>,"{'company': 'MR. D. I. Y. (KUCHAI) SDN BHD', 'date': '19-03-18', 'address': 'LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR', 'total': '11.90'}"
96,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=916x1694 at 0x7F90CA7A00A0>,"{'company': 'GERBANG ALAF RESTAURANTS SDN BHD', 'date': '11/03/2018', 'address': 'LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR', 'total': '8.50'}"
97,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x2079 at 0x7F90CA7A0100>,"{'company': 'SAINT HEART PASTRY', 'date': '25/03/2018', 'address': '29,JLN SJ 17, TMN SELAYANG JAYA, 68100 BATU CAVES, SELANGOR', 'total': '8.20'}"
98,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x2104 at 0x7F90CA7A0160>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '21/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '68.90'}"
99,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x2107 at 0x7F90CA7A01C0>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '21/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '144.16'}"
100,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2216 at 0x7F90CA7A0220>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '07/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '91.16'}"
101,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=924x2219 at 0x7F90CA7A0280>,"{'company': 'KEDA PAPAN YEW CHJAN', 'date': '08/03/2018', 'address': 'LOT 276 JALAN BANTING 800 DEN SELANGOR.', 'total': '312.70'}"
102,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2212 at 0x7F90CA7A02E0>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '16/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '135.68'}"
103,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x2317 at 0x7F90CA7A0340>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '12/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '283.55'}"
104,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x2319 at 0x7F90CA7A03A0>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '02/04/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '270.30'}"
105,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2209 at 0x7F90CA7A0400>,"{'company': 'KEDAI PAPAN YEW CHUAN', 'date': '10/03/2018', 'address': 'LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.', 'total': '84.80'}"
106,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x2017 at 0x7F90CA7A0460>,"{'company': 'MY MYDIN SDN BHD', 'date': '15/01/2018', 'address': 'NO 13, 15, 17 & 19 JALAN NOVA Q U5/Q, SEKSYEN U5, SUBANG BESTARI 40150 SHAH ALA SELANGOR DARUL EHSAN', 'total': '5.50'}"
107,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=746x1212 at 0x7F90CA7A04C0>,"{'company': 'YONG CEN ENTERPRISE', 'date': '06/01/2018', 'address': '9, JALAN SUBANG JASA 3, 40150 SHAH ALAM, SELANGOR.', 'total': '65.70'}"
108,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=704x1640 at 0x7F90CA7A0520>,"{'company': 'MUN HENG ELECTRICAL & HARDWARE SUPPLY', 'date': '01/02/2018', 'address': 'NO.52, JALAN BULAN U5/BT, BANDAR PINGGLRAN SUBANG, SUNGAL BULOH, 40150 SHAH ALAM, SEL.', 'total': '7.00'}"
109,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x1592 at 0x7F90CA7A0580>,"{'company': 'URBAN IDEA SDN BHD', 'date': '14/02/2018', 'address': 'A-G-06, DATARAN GLOMAC, JALAN SS6/5A, PUSAT BANDAR KELANA JAYA, 47301 PETALING JAYA, SELANGOR, MALAYSIA', 'total': 'RM11.90'}"
110,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=749x1433 at 0x7F90CA7A05E0>,"{'company': '99 SPEED MART S/B', 'date': '31-03-18', 'address': 'LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317-TRILLIUM SG BESI', 'total': '4.00'}"
111,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=744x2171 at 0x7F90CA7A0640>,"{'company': 'SUPER SEVEN CASH & CARRY SDN BHD', 'date': '01-03-2018', 'address': 'NO. 1 JALAN EURO 1 OFF JALAN BATU TIGA SUNGAI BULOH SEKSYEN U3 SHAH ALAM, 40150', 'total': 'RM408.45'}"
112,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=705x1473 at 0x7F90CA7A06A0>,"{'company': 'BEMED (SP) SDN BHD.', 'date': '27/MAR/2018', 'address': 'NO.49, JALAN DLNARG U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SELANGOR D.E.', 'total': '308.70'}"
113,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=731x1701 at 0x7F90CA7A0700>,"{'company': 'PANA JAYA ENTERPRISE', 'date': '21-03-2018', 'address': 'NO. 10-G, GROUND FLOOR. JALAN DINAR D, U3/D. TAMAN SUBANG PEADANA. SEK U3. 40150 SHAH ALAM, SELANGOR.', 'total': '105.00'}"
114,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=745x2001 at 0x7F90CA7A0760>,"{'company': 'SUPER SEVEN CASH & CARRY SDN BHD', 'date': '21-03-2018', 'address': 'NO. 1 JALAN EURO 1 OFF JALAN BATU TIGA SUNGAI BULOH SEKSYEN U3 SHAH ALAM, 40150', 'total': 'RM18.30'}"
115,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=705x2287 at 0x7F90CA7A07C0>,"{'company': 'SEGI CASH & CARRY SDN. BHD.', 'date': '12 MAR 2018', 'address': 'PT17920 SEK U9, SHAH ALAM', 'total': '145.10'}"
116,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=884x1698 at 0x7F90CA7A0820>,"{'company': 'SWC ENTERPRISE SDN BHD', 'date': '06/03/2018', 'address': '28-G, GROUND FLOOR, JALAN DINAR A U3/A, TMN SUBANG PERDANA, 40150 SHAN ALAM, SELANGOR.', 'total': '4.00'}"
117,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=618x1541 at 0x7F90CA7A0880>,"{'company': 'GUARDIAN HEALTH AND BEAUTY SDN BHD', 'date': '09/03/18', 'address': 'G31 & G32, GRD FLR, IOI MALL BANDAR PUCHONG JAYA', 'total': '9.95'}"
118,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x1530 at 0x7F90CA7A08E0>,"{'company': 'TSH POWER HARDWARE TRADING', 'date': '12/09/2017', 'address': '13-1, JALAN PJU 5/10, DATARAN SUNWAY, KOTA DAMANSARA, 47810, PETALING JAYA, SELANGOR', 'total': '24.50'}"
119,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=709x1233 at 0x7F90CA7A0940>,"{'company': 'MR. D.I.Y. (M) SDN BHD', 'date': '18-03-18', 'address': 'LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR', 'total': '6.60'}"
120,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=710x1724 at 0x7F90CA7A09A0>,"{'company': 'MR. D.I.Y. (M) SDN BHD', 'date': '21-03-18', 'address': 'LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR', 'total': '21.50'}"
121,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x1400 at 0x7F90CA7A0A00>,"{'company': 'MR. D.I.Y. (M) SDN BHD', 'date': '23-03-18', 'address': 'LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR', 'total': '6.20'}"
122,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x1625 at 0x7F90CA7A0A60>,"{'company': 'SUPER SEVEN CASH & CARRY SDN BHD', 'date': '27-01-2018', 'address': 'NO. 1 JALAN EURO 1 OFF JALAN BATU TIGA SUNGAI BULOH SEKSYEN U3 SHAH ALAM, 40150', 'total': 'RM59.00'}"
123,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=745x1217 at 0x7F90CA7A0AC0>,"{'company': 'YONG CEN ENTERPRISE', 'date': '06/01/2018', 'address': '9, JALAN SUBANG JASA 3, 40150 SHAH ALAM, SELANGOR', 'total': '65.70'}"
124,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=711x2106 at 0x7F90CA7A0B20>,"{'company': 'SEGI CASH & CARRY SDN. BHD.', 'date': '06 JAN 2018', 'address': 'PT17920 SEK U9, SHAH ALAM', 'total': '674.00'}"
125,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=747x1866 at 0x7F90CA7A0B80>,"{'company': 'SUPER SEVEN CASH & CARRY SDN BHD', 'date': '01-02-2018', 'address': 'NO. 1 JALAN EURO 1 OFF JALAN BATU TIGA SUNGAI BULOH SEKSYEN U3 SHAH ALAM, 40150', 'total': 'RM42.10'}"
126,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=730x1778 at 0x7F90CA7A0BE0>,"{'company': 'PANA JAYA ENTERPRISE', 'date': '25-01-2018', 'address': 'NO . 10-G. GROUND FLOOR. JALAN DINAR D. U3/D TAMAN SUBANG PERDANA. SEK U3. 40150 SHAH ALAM. SELANGOR', 'total': '205.5'}"
127,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=705x1373 at 0x7F90CA7A0C40>,"{'company': '99 SPEED MART S/B', 'date': '28-01-18', 'address': 'LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1313-SUBANG BESTARI', 'total': '98.90'}"
128,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=808x2360 at 0x7F90CA7A0CA0>,"{'company': 'GREAT ZONE HOUSEHOLD CENTRE SDN BHD', 'date': '18/02/2018', 'address': '60 & 62. JALAN CIKU, 86000,KLUANG', 'total': '367.30'}"
129,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=842x1280 at 0x7F90CA7A0D00>,"{'company': 'SAYANG YOU STATION SDN BHD', 'date': '28-FEB-2018', 'address': 'LOT G18 & G19, JLN 8/27A WANGSA MAJU (AEON BIG SHOPPING CENTER) 53300 KUALA LUMPUR', 'total': '4.10'}"
130,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=792x1141 at 0x7F90CA7A0D60>,"{'company': 'IMAGE PRINTEC (M) SDN BHD', 'date': '23/02/2018', 'address': ""NO. 12A-G, JALAN WANGSA DELIMA 11, D'WANGSA WANGSA MAJU, 53300 KUALA LUMPUR."", 'total': '7.20'}"
131,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=786x1579 at 0x7F90CA7A0DC0>,"{'company': 'HUGO TRADING SDN BHD', 'date': '13/01/2018', 'address': 'LOT 8&9, KOMPLEKS PASAR BORONG SELANGOR, 43300 SERI KEMBANGAN, SEL', 'total': '40.80'}"
132,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=864x1373 at 0x7F90CA7A0E20>,"{'company': 'SATU KAMPUNG ENTERPRISE SDN BHD', 'date': '13/01/2018', 'address': 'NO. 42, PASAR BORONG SELANGOR JALAN PUTRA PERMAI, 43300 SERI KEMBANGAN. SELANGOR.', 'total': '63.00'}"
133,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=736x1407 at 0x7F90CA7A0E80>,"{'company': 'SATU KAMPUNG ENTERPRISE SDN BHD', 'date': '13/01/2018', 'address': 'NO.42, PASAR BORONG SELANGOR. JALAN PUTRA PERMAI, 43300 SERI KEMBANGAN. SELANGOR.', 'total': '20.00'}"
134,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=723x1197 at 0x7F90CA7A0EE0>,"{'company': 'PRINT EXPERT SDN BHD', 'date': '19/03/2018', 'address': 'NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR', 'total': '226.60'}"
135,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=775x1593 at 0x7F90CA7A0F40>,"{'company': 'PRINT EXPERT SDN BHD', 'date': '25/03/2018', 'address': 'NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR', 'total': '204.20'}"
136,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=765x1281 at 0x7F90CA7A0FA0>,"{'company': 'PRINT EXPERT SDN BHD', 'date': '25/03/2018', 'address': 'NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR', 'total': '119.55'}"
137,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=744x2318 at 0x7F90CA7A1000>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '05/03/18', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '30.50'}"
138,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=745x2094 at 0x7F90CA7A1060>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '06/03/18', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '30.70'}"
139,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=743x1737 at 0x7F90CA7A10C0>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '06/03/18', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '12.15'}"
140,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=745x1680 at 0x7F90CA7A1120>,"{'company': 'AEON CO. (M) BHD', 'date': '21/03/2018', 'address': '3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR', 'total': '65.10'}"
141,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=734x1616 at 0x7F90CA7A1180>,"{'company': 'FLORISM DE ART', 'date': '14/01/2018', 'address': 'LOT 2.70.00,LEVEL 2, PAVILION KUALA LUMPUR, 168, JALAN BUKIT BINTANG, 55100 KUALA LUMPUR, MALAYSIA.', 'total': '750.00'}"
142,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=747x1219 at 0x7F90CA7A11E0>,"{'company': 'DEWINA HOST SDN BHD', 'date': '2018/03/27', 'address': 'LOT SATMZ 23, MEZZANINE LEVEL SATELLITE BUILDING KUALA LUMPUR INTERNATIONAL AIRPORT', 'total': 'RM63.90'}"
143,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x1641 at 0x7F90CA7A1240>,"{'company': 'DREAM ARTS', 'date': '29/03/2018', 'address': 'L 2-047, LEVEL 2, VIVACITY MEGAMALL, JALAN WAN ALWI, 93350 KUCHING', 'total': '15.00'}"
144,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=791x1897 at 0x7F90CA7A12A0>,"{'company': 'GUARDIAN HEALTH AND BEAUTY SDN BHD', 'date': '01/01/18', 'address': 'SOLARIS MOUNT KIARA NO.8 & 10, GF SOLARIS MOUNT KUARA JLN SOLARIS 5', 'total': '22.45'}"
145,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=724x1440 at 0x7F90CA7A1300>,"{'company': 'MEI LET RESTAURANT', 'date': '03/02/2017', 'address': 'NO 2, JALAN BULAN BM U5/BM, SEKSYEN U5, 40150 SHAH ALAM, SELANGOR', 'total': '68.90'}"
146,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x1386 at 0x7F90CA7A1360>,"{'company': ""KING'S CONFECTIONERY S/B"", 'date': '07/02/17', 'address': 'LOT NO. G23, GIANT KELANA JAYA LOT PT244, JLN PERBANDARAN SS6/4 PUSAT BANDAR KELANA JAYA, PETALING', 'total': '9.90'}"
147,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=703x1423 at 0x7F90CA7A13C0>,"{'company': ""KING'S CONFECTIONERY S/B"", 'date': '23/02/17', 'address': 'NO. 20-A1, JALAN SS6/3, KELANA JAYA, 473 PETALING JAYA SELANGOR D.E.', 'total': '7.20'}"
148,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=703x1819 at 0x7F90CA7A1420>,"{'company': 'OLIVE9 PHARMACY SDN BHD', 'date': '31/03/2017', 'address': '69 JALAN NOVA U5/N, SEKSYEN U5 SUBANG BE', 'total': '12.15'}"
149,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=703x1779 at 0x7F90CA7A1480>,"{'company': 'TANJONGMAS BOOKCENTRE (PJ) SDN BHD', 'date': '17/03/2017', 'address': 'LOT F15, GIANT BANDAR PUTERI JALAN PUTERI 1/1, BDR PUTERI 47100 PUCHONG, SELANGOR', 'total': '62.00'}"
150,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=741x2164 at 0x7F90CA7A14E0>,"{'company': 'SEMBOYAN TEGAS SDN BHD', 'date': '06-03-2018', 'address': 'NO.5 & 7 , JALAN TSJ 2. TAMAN SUBANG JASA KG. BARU SUBANG. 40150 SHAH ALAM SELANGOR DARUL EHSAN', 'total': '27.00'}"
151,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=725x1388 at 0x7F90CA7A1540>,"{'company': 'BEMED (SP) SDN. BHD.', 'date': '02/JAN/2017', 'address': 'NO.49, JALAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SELANGOR D.E.', 'total': '165.00'}"
152,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x1173 at 0x7F90CA7A15A0>,"{'company': 'YONG CEN ENTERPRISE', 'date': '11/02/2017', 'address': '9, JALAN SUBANG JASA 3, 40150 SHAH ALAM. SELANGOR.', 'total': '19.10'}"
153,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=701x1162 at 0x7F90CA7A1600>,"{'company': 'FIVE STAR CASH & CARRY', 'date': '05/01/17', 'address': 'G.23 & G.22, PLAZA SERI SETIA, NO.1 JALAN SS 9/1, 47300 PJ, SELANGOR.', 'total': '90.00'}"
154,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x1885 at 0x7F90CA7A1660>,"{'company': 'THE CUT STEAKHOUSE &BURGERS', 'date': '01-01-2017', 'address': 'LOT L1-4 STAR AVENUE MALL JALAN ZUHAL U5/179 SEKSYEN U5 PUSAT KOMERSIAL ARENA BINTANG 40150 SHAH ALAM, SELANGOR', 'total': '167.55'}"
155,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=738x1619 at 0x7F90CA7A16C0>,"{'company': 'MEI LET RESTAURANT', 'date': '12/01/2017', 'address': 'NO 2, JALAN BULAN BM U5/BM, SEKSYEN U5, 40150 SHAH ALAM, SELANGOR', 'total': '59.35'}"
156,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=739x1654 at 0x7F90CA7A1720>,"{'company': 'S&Y STATIONERY', 'date': '09-JAN-2017', 'address': 'NO.36G JALAN BULAN BM U5/BM, BANDAR PINGGIRAN SUBANG, SEKSYEN U5, 40150 SHAH ALAM, SELANGOR.', 'total': '1.40'}"
157,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x1449 at 0x7F90CA7A1780>,"{'company': 'BEMED (SP) SDN. BHD.', 'date': '20/JAN/2017', 'address': 'NO.49, JALAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SELANGOR D.E.', 'total': '203.00'}"
158,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=744x1416 at 0x7F90CA7A17E0>,"{'company': 'BIRU PETROLEUM', 'date': '11/11/16', 'address': 'KELANA JAYA. 47301 PETALING SELANGOR DARUL EHSAN.', 'total': '6.40'}"
159,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=698x1708 at 0x7F90CA7A1840>,"{'company': 'SEGI CASH & CARRY SDN.BHD', 'date': '06 FEB 2017', 'address': 'PT17920, SEKSYEN U9, 40150 SHAH ALAM, SELANGOR DARUL EHSAN.', 'total': '27.00'}"
160,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=753x1343 at 0x7F90CA7A18A0>,"{'company': 'C W KHOO HARDWARE SDN BHD', 'date': '26/04/2018', 'address': 'NO.50 ,JALAN PBS 14/11 , KAWASAN PERINDUSTRIAN BUKIT SERDANG,', 'total': '84.80'}"
161,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=738x1780 at 0x7F90CA7A1900>,"{'company': 'CHA FOR TEA', 'date': '19/04/2018', 'address': '1-1, CENTRAL PARK , JALAN PJU5/13, DATARAN SUNWAY, 47810 KOTA DAMANSARA, SELANGOR', 'total': 'RM46.25'}"
162,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=753x1554 at 0x7F90CA7A1960>,"{'company': 'PLATINUM RACKING SDN BHD', 'date': '22/04/2018', 'address': '8B, JALAN LUMPUR,OFF JALAN PUTRA,05100 ALOR SETAR,KEDAH,', 'total': '23.00'}"
163,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=734x1343 at 0x7F90CA7A19C0>,"{'company': 'C W KHOO HARDWARE SDN BHD', 'date': '31/03/2018', 'address': 'NO.50 , JALAN PBS 14/11 , KAWASAN PERINDUSTRIAN BUKIT SERDANG,', 'total': '14.65'}"
164,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=702x1728 at 0x7F90CA7A1A20>,"{'company': 'TANJONGMAS BOOKCENTRE (PJ) SDN BHD', 'date': '02/04/2017', 'address': 'LOT F15, GIANT BANDAR PUTERI JALAN PUTERI 1/1, BDR PUTERI 47100 PUCHONG, SELANGOR', 'total': '4.30'}"
165,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=703x1373 at 0x7F90CA7A1A80>,"{'company': 'BEMED (SP) SDN. BHD.', 'date': '01/APR/2017', 'address': 'NO.49, JALAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SELANGOR D.E.', 'total': '165.00'}"
166,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=522x1085 at 0x7F90CA7A1AE0>,"{'company': 'AMANO MALAYSIA SDN BHD', 'date': '30/04/2017', 'address': '12 JALAN PENGACARA U1/48 TEMASYA INDUSTRIAL PARK 40150 SHAH ALAM SELANGOR', 'total': 'RM3.00'}"
167,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=522x1091 at 0x7F90CA7A1B40>,"{'company': 'AMANO MALAYSIA SDN BHD', 'date': '30/04/2017', 'address': '12 JALAN PENGACARA U1/48 TEMASYA INDUSTRIAL PARK 40150 SHAH ALAM SELANGOR', 'total': 'RM1.00'}"
168,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=723x2793 at 0x7F90CA7A1BA0>,"{'company': 'GERBANG ALAF RESTAURANTS SDN BHD', 'date': '30/04/2017', 'address': 'LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR', 'total': '47.15'}"
169,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=702x1961 at 0x7F90CA7A1C00>,"{'company': 'SEGI CASH & CARRY SDN. BHD.', 'date': '11/05/17', 'address': 'PT17920 SEK U9, SHAH ALAM', 'total': '83.55'}"
170,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=706x1557 at 0x7F90CA7A1C60>,"{'company': ""KING'S CONFECTIONERY S/B"", 'date': '21/05/17', 'address': 'NO. 20-A1, JALAN SS6/3, KELANA JAYA, 47301 PETALING JAYA SELANGOR D.E.', 'total': '27.50'}"
171,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=709x1214 at 0x7F90CA7A1CC0>,"{'company': 'YONG CEN ENTERPRISE', 'date': '21/05/2017', 'address': '9, JALAN SUBANG JASA 3, 40150 SHAH ALAM, SELANGOR.', 'total': '108.00'}"
172,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=885x1791 at 0x7F90CA7A1D20>,"{'company': ""KING'S CONFECTIONERY S/B"", 'date': '10/10/17', 'address': '3425, GR. FLOOR JLN THEATER, JINJANG UTARA 52100 K.L.', 'total': '70.00'}"
